#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
12,113.69868875198544,-22.25661602407062,1.6319,39.8025,20232.7544,10.0369,141.913,-83.3107,-14.1128,-118.0456,1.7135,0.1098,-1.8544,1,0.099,1.96E-4,10.0,0.8407971777416755,0.8383689089277963,1.294129323918376,3.72994872857763,2.93911895378384,1.5349655540443148,3.0476337236290303,2.042032821878201,1.558654643322277,1.3801210094053338,1.3004319201273717,3.088663189740842,3.0,19.565728646295405,18.575971589295456,18.111160547308643,17.889408345337806,17.8055442703137
13,113.70317600889594,-22.193681563910115,1.6219,39.8651,19849.1119,9.9453,153.9106,-75.3564,9.4669,-124.7512,1.7754,0.4034,-1.8783,1,0.099,1.96E-4,9.9956,0.827931643293162,0.8266410118935359,0.5970017621182141,3.8224432918575877,3.9998615315699997,3.2774759743933695,4.349848124438305,3.501083568171454,3.3177114181265184,3.2880253431040503,3.318339268081583,3.083550096847437,2.0,20.933620803583523,19.95037316159085,19.803179585805633,19.796570535295118,19.969222978812642
14,113.77279697011812,-22.230907308643136,1.7134,39.8406,20009.3122,9.9168,167.064,-108.2887,-13.9251,-148.805,2.0845,0.1261,-1.7025,1,0.099,3.1E-4,9.9956,0.7697324708630885,0.7691867772059297,0.10069147334016543,3.8062759906003834,4.400270076371886,4.518060317237063,5.585152333686391,4.799620340736104,4.554748312537254,4.494812298437829,4.507032286688308,3.0582444484508335,1.0,21.959618022456027,21.281947994232713,21.001379806292753,20.932804307069674,20.855837908188096
15,113.63256522565213,-22.126846101682613,1.5218,39.9185,19929.9278,10.02,153.9187,-65.68,-23.2257,-104.1493,1.7814,0.1161,-1.6938,1,0.099,3.1E-4,10.0,0.7642829218561227,0.7637451300073409,0.07725385629129292,3.8043188041697253,4.412846746016738,4.576865359271768,5.647332451974749,4.863313647805023,4.612370060314199,4.549902967611218,4.559426472823375,3.0556745411430697,1.0,22.43598242299501,21.379115259378068,21.108574403486827,21.063610343474828,20.603212234048687
16,113.67943218043892,-22.149526143943067,1.5829,39.9044,20021.3793,10.0449,168.7631,-115.508,2.3366,-161.6341,2.1033,0.2709,-1.9173,1,0.099,1.96E-4,10.0,0.6484834939367927,0.6482922320100232,-0.4445961105259017,3.7532588241740132,4.659215647733968,5.881871241999756,7.216854588479649,6.32088677797971,5.880871241999756,5.730442830219778,5.678490555699793,2.9913712749707737,1.0,23.634175242482893,22.715646620876207,22.472063587591695,21.943973942747526,22.106987206347075
17,113.64838460324333,-22.177941492264605,1.5531,39.8711,20073.9725,9.9899,145.737,-92.9339,18.5348,-139.9615,1.7483,0.4105,-1.8232,1,0.099,2.46E-4,10.0,0.7397156984969399,0.7392540564684068,-0.04213723681950959,3.7957576676053613,4.483993544187846,4.87526997183916,5.963882759262319,5.189467720939231,4.90873237603144,4.831072222739089,4.829534626931371,3.0436649157153406,1.0,22.54504548148711,21.68209560563736,21.427963543153716,21.404113972464895,21.22280535364072
18,113.63016607086672,-22.1992872685019,1.5367,39.8469,20139.7572,10.0333,172.9887,-86.9789,-9.3741,-134.4369,2.0137,0.2518,-1.8234,1,0.099,2.46E-4,10.0,0.8292770579554609,0.8279444783625213,0.6152986235943715,3.815069965726035,3.9529469633880443,3.232138710401302,4.320713796086214,3.4696316409883696,3.264974400205613,3.2246457798142343,3.2463993145207004,3.084092185046792,2.0,20.936235436209593,19.972797062607064,19.764050388908107,19.754735868249863,19.815000782041754
20,113.63873118375353,-22.131312607735513,1.5302,39.9152,19815.996,10.0547,142.4103,-90.8561,0.6645,-130.2454,1.7631,0.238,-1.7636,1,0.099,2.46E-4,10.0043,0.6286156309718844,0.6284225497331652,-0.5318652911207062,3.740723942261053,4.683078146530779,6.09958275109143,7.556343328480898,6.580589713730869,6.0958087821443145,5.925870378456808,5.860610067927956,2.978009416394244,1.0,25.38746305114406,22.87099799657221,22.48114646963365,22.375109121884826,22.385916420134592
21,113.67306245560623,-22.162148854048436,1.5785,39.8909,20013.8841,9.9611,150.715,-103.987,-3.243,-143.0211,1.8928,0.1886,-1.8474,1,0.099,2.46E-4,10.0,0.8424208838052621,0.8400754342892631,1.2394936837248391,3.730696525685895,2.9975678533080035,1.6711079121031653,3.1862654837979014,2.174248112227376,1.6908622549957968,1.5151079121031654,1.4364763977642183,3.0892969429356385,3.0,19.689322797081186,18.678409198793446,18.20996955438904,17.991036594444935,17.963035902549084
22,113.67302437901294,-22.12325931116106,1.5689,39.9291,19959.9805,9.9933,143.5426,-68.5725,1.3345,-112.0725,1.6519,0.308,-1.9013,1,0.099,1.96E-4,10.0,0.7135246598860798,0.7131498756330282,-0.15989022983359347,3.78585770072572,4.546439491098069,5.169975574583984,6.297268978228398,5.516204183679205,5.193156501853836,5.096255521850672,5.081764078212585,3.0299858376577595,1.0,23.38298912285905,21.958321987956026,21.723092835489364,21.534235741123847,22.33736113699307
