# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Feb 21 18:17:57 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.00015547 -2.00000 10.00000 0.6271697283 2.3386228085    0.627 -0.531  3.7422  4.687    1  0.000  0.544     0.00     0.00 -1 -2.11e-14      0.00 7.971e-01 2.028e-01 2.439e-05 6.589e-06 5.983e-05 -1.000 1.463e-04 6.098 7.502 6.562 6.088 5.918 5.853
0.00015547 -2.00000 10.00000 0.6402659416 2.3464512825    0.640 -0.476  3.7494  4.670    1  0.000  0.543     0.00     0.00 -1 -2.42e-14      0.00 8.011e-01 1.988e-01 2.398e-05 6.480e-06 5.884e-05 -1.000 1.337e-04 5.961 7.298 6.399 5.952 5.795 5.738
0.00015547 -2.00000 10.00000 0.6499999762 2.3520355225    0.650 -0.435  3.7548  4.657    1  0.000  0.543     0.00     0.00 -1 -2.68e-14      0.00 8.041e-01 1.957e-01 2.366e-05 6.394e-06 5.807e-05 -1.000 1.341e-04 5.858 7.150 6.277 5.851 5.704 5.654
0.00015547 -2.00000 10.00000 0.6581508517 2.3565654755    0.658 -0.401  3.7591  4.645    1  0.000  0.543     0.00     0.00 -1 -2.92e-14      0.00 8.074e-01 1.925e-01 2.332e-05 6.304e-06 5.727e-05 -1.000 1.386e-04 5.771 7.027 6.176 5.766 5.627 5.582
0.00015547 -2.00000 10.00000 0.6706717610 2.3632783890    0.670 -0.347  3.7656  4.626    1  0.000  0.543     0.00     0.00 -1 -3.35e-14      0.00 8.127e-01 1.872e-01 2.277e-05 6.158e-06 5.595e-05 -1.000 1.146e-04 5.637 6.848 6.023 5.637 5.508 5.470
0.00015547 -2.00000 10.00000 0.6829990745 2.3696117401    0.683 -0.293  3.7720  4.605    1  0.000  0.542     0.00     0.00 -1 -3.84e-14      0.00 8.183e-01 1.815e-01 2.219e-05 6.003e-06 5.456e-05 -1.000 1.512e-04 5.503 6.674 5.871 5.508 5.389 5.359
0.00015547 -2.00000 10.00000 0.6939523816 2.3750226498    0.694 -0.245  3.7774  4.586    1  0.000  0.542     0.00     0.00 -1 -4.36e-14      0.00 8.237e-01 1.762e-01 2.163e-05 5.855e-06 5.323e-05 -1.000 1.636e-04 5.383 6.522 5.736 5.392 5.282 5.258
0.00015547 -2.00000 10.00000 0.6999999881 2.3779268265    0.700 -0.218  3.7804  4.575    1  0.000  0.542     0.00     0.00 -1 -4.67e-14      0.00 8.268e-01 1.731e-01 2.131e-05 5.769e-06 5.246e-05 -1.000 1.636e-04 5.316 6.438 5.661 5.327 5.222 5.201
0.00015547 -2.00000 10.00000 0.7003502250 2.3780932426    0.700 -0.217  3.7806  4.574    1  0.000  0.541     0.00     0.00 -1 -4.69e-14      0.00 8.270e-01 1.729e-01 2.129e-05 5.764e-06 5.242e-05 -1.000 1.632e-04 5.312 6.434 5.657 5.323 5.218 5.198
0.00015547 -2.00000 10.00000 0.7129241228 2.3839437962    0.713 -0.159  3.7864  4.547    1  0.000  0.539     0.00     0.00 -1 -5.48e-14      0.00 8.341e-01 1.658e-01 2.052e-05 5.577e-06 5.076e-05 -1.000 1.376e-04 5.167 6.264 5.498 5.185 5.090 5.076
