#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
20,110.58569899460592,-24.08982602604287,358.557,37.3989,24983.7144,12.0607,145.9981,-102.1834,-7.2581,-131.2282,1.4645,0.1476,-1.7645,1,0.1167,2.46E-4,10.0828,0.758088324062401,0.7572948056556517,0.23075325090086518,3.809133832425645,4.274916285546592,4.193100143694632,5.261100143694631,4.464631730204875,4.232167059907454,4.178367808545921,4.192501640971565,3.0527302064331754,1.0,22.174217985680208,21.53670511190731,21.13412518792858,21.13856331248479,21.349805099657633
21,110.6019690614361,-24.100595399853137,358.5784,37.392,25015.9882,11.9796,186.8159,-110.0912,10.4512,-158.3407,1.7598,0.3856,-1.7717,1,0.1167,2.46E-4,10.0792,0.7707918758836262,0.7698451217408308,0.3341717053126423,3.8129304877474994,4.19381585532252,3.9341170782200616,5.003024395216727,4.192348785728397,3.9740707367183945,3.92597805371506,3.944885370711726,3.0587452154362733,1.0,21.658585611484234,21.22835337486472,21.039671345054074,20.9264788240034,20.46285268752953
22,110.61029351780536,-24.103573594573724,358.5886,37.3909,24880.844,11.9406,149.0874,-111.4055,9.5027,-146.9685,1.4963,0.2607,-1.7297,1,0.1167,3.1E-4,10.0755,0.7688028752911601,0.7679663154713061,0.2819409922708146,3.810333856384127,4.234634222548476,4.064923260935296,5.137129193833953,4.328305462239325,4.099820294485967,4.049129193833952,4.065335126732609,3.0578152852079103,1.0,22.11683988991439,21.316098276357607,21.071092845427433,21.114614606916085,21.58669441464042
23,110.55765794074783,-24.104902630419694,358.5303,37.3781,24846.1022,11.9206,152.1781,-94.6703,-12.0466,-124.7695,1.4997,0.1502,-1.7589,1,0.1167,2.46E-4,10.0755,0.7975376136724064,0.7958969499560326,0.7941651466145008,3.7482068403869144,3.489462214933156,2.7847856084417644,4.153396505715778,3.2234880070348035,2.7935795083538295,2.6450222089693747,2.58905270940905,3.0708006685373848,2.0,21.08000663902107,20.19155686040751,19.83899606037583,19.629868453005564,19.705841267720697
25,110.602265247036,-24.101782870436722,358.5791,37.3909,24741.5837,11.926,147.1205,-98.8513,-6.9787,-128.8684,1.4745,0.1624,-1.7537,1,0.1167,2.46E-4,10.0755,0.6842030588312937,0.6838483441840499,-0.23810281901030797,3.7750672395833447,4.563155826822867,5.365472384982368,6.556413487412858,5.737304286024006,5.369764409721959,5.255209809027533,5.228793858506714,3.0134507058372524,1.0,23.052424146171596,22.433611987838603,22.42696911510528,22.15622581572187,22.600545373013333
26,110.62444195776483,-24.085255956593514,358.5989,37.4118,25034.892,11.9155,150.7421,-97.5233,4.5876,-133.6737,1.4578,0.261,-1.7454,1,0.1167,3.1E-4,10.0755,0.7068824109090931,0.7064680271995611,-0.13150760351903024,3.7845662627497942,4.508727671517933,5.09897463167261,6.243339569340282,5.440872094839871,5.111114654338911,5.013647179838499,5.000002196838225,3.026349782271939,1.0,22.407615328062843,22.28481059186738,22.08265180578854,22.194271862013245,21.250371652033802
27,110.60080300753191,-24.11373154316394,358.5811,37.379,25549.8488,12.0298,133.6552,-109.45,-13.9185,-130.748,1.3811,0.0408,-1.7082,1,0.1167,3.1E-4,10.0792,0.7560672509658224,0.7552807411354939,0.18657947894757398,3.8060387465905747,4.305816852368775,4.303385177290123,5.379378681381433,4.580701188200283,4.338385177290122,4.279062670471271,4.290733667743731,3.0517506757362587,1.0,22.94386655215108,21.49987241566159,21.353947162519948,21.188107023047124,21.31360680021229
29,110.60947404149239,-24.113545760362037,358.5907,37.3811,24699.8906,12.015,140.2462,-110.1884,-3.7651,-137.6567,1.4616,0.1376,-1.6428,1,0.1167,3.9E-4,10.0792,0.7723218131251842,0.7713561721297812,0.305282137245478,3.8089478225034026,4.2079462679685555,4.006515391983113,5.087515391983113,4.268217749659716,4.036515391983113,3.9841642131448123,3.999164213144812,3.059455594618652,1.0,21.968291965396205,21.221480532234136,21.04928472917898,21.02899425077898,21.060601871902858
31,110.59288417648851,-24.104977144687943,358.5696,37.3857,24996.6618,12.0054,186.2936,-120.7445,-14.5556,-157.0388,1.8424,0.1717,-1.684,1,0.1167,3.1E-4,10.0792,0.7444213148618002,0.7437422776575163,0.10086751202667471,3.8014504894842096,4.366292288030462,4.51758581533087,5.59922797321057,4.80887013109027,4.55158581533087,4.484283117981244,4.491301499571469,3.046031754403124,1.0,22.479443730212054,21.8049690437043,21.58488880779114,21.42128604609513,21.497782102959604
32,110.61121061492051,-24.109120527067258,358.5913,37.3857,24830.5229,11.9414,181.8146,-137.4173,1.1651,-176.2977,1.8536,0.2363,-1.7652,1,0.1167,2.46E-4,10.0755,0.7781825384389951,0.7771402476884081,0.3949663268337854,3.8139152795477407,4.141172554975252,3.782334182915536,4.855028591960722,4.034486978392944,3.8204869783929434,3.7754869783929434,3.7954869783929435,3.062157182252195,1.0,21.978209597093297,21.011569726077525,20.75972850903982,20.752936537354508,20.7105118169317
