#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
16,113.89716802082498,-21.213221426983516,1.614,40.862,17849.2576,11.9909,168.5194,-71.0485,-20.6751,-116.7161,2.1633,0.1915,-1.9889,1,0.0739,1.55E-4,10.0792,0.6934049390119604,0.693028529341817,-0.1754176402486087,3.7825292467360523,4.5361136945803135,5.208469190295801,6.350173135964097,5.566671342478508,5.2290179348558885,5.124866320718859,5.106115423976064,3.018787941094583,1.0,22.29988023550096,21.81405650303241,21.500571773089487,21.415154738539737,21.34675826713367
18,113.71433452181078,-21.171210203994843,1.3821,40.8712,17757.9384,12.0631,160.3104,-91.2758,-12.5685,-133.5106,2.1819,0.1958,-1.9187,1,0.0739,1.96E-4,10.0828,0.7834911831129401,0.7822377714891626,0.5399177726053156,3.806336742688125,3.968841826747316,3.4203617113199365,4.5173639975444635,3.6867382830992987,3.4561114255418706,3.399985139540574,3.411359425095409,3.064569272924856,2.0,20.781023108797612,19.93701796188316,19.732533276203263,19.629484603838,19.565345502539852
22,113.7827080370693,-21.254894380589622,1.4858,40.8011,17709.5767,12.0072,152.3922,-101.4529,-9.2184,-140.4554,2.1545,0.17,-2.0035,1,0.0739,1.55E-4,10.0792,0.7862872327074354,0.7849855633409921,0.5817436612025827,3.8038267606791814,3.9185316913443464,3.315390846993543,4.4199084523171654,3.587570424230866,3.3518873259288187,3.2922112697562205,3.3002042276267716,3.0658268114613465,2.0,20.70474578822272,19.769003932576542,19.549180800365797,19.509279960404925,19.537313999842727
23,113.74765800061593,-21.213034099639195,1.4329,40.836,18158.3068,11.95,166.0237,-109.8529,-0.2268,-155.9851,2.2652,0.2886,-2.033,1,0.0739,1.55E-4,10.0755,0.6845946293377543,0.6842461416013098,-0.22404395821077108,3.777663204313727,4.5600007808578376,5.330271894852908,6.497005205718914,5.701863884068591,5.344525232679707,5.232130573202585,5.207383911029384,3.0136804641703914,1.0,23.309404396472292,21.97991364856493,21.480778058899936,21.70873195824097,21.756824198199194
24,113.81814150146795,-21.274978653988992,1.5336,40.7876,18280.115,11.9711,145.1888,-108.3277,-18.6815,-140.2059,2.0705,0.0174,-1.9828,1,0.0739,1.55E-4,10.0792,0.6411865668421648,0.6409784976383389,-0.42726070553718687,3.754543573883661,4.642159981742543,5.8385836554881365,7.154689551102713,6.275862553682375,5.841856088907458,5.691852856520001,5.641759890455255,2.9865529437480074,1.0,23.549155366788877,22.492335575578682,22.150038673520758,22.006945893784884,21.790436433572072
25,113.88805472375778,-21.167618576563694,1.5917,40.9052,17972.801,12.0721,158.8873,-65.945,-6.262,-113.9669,1.993,0.3251,-1.9427,1,0.0739,1.96E-4,10.0828,0.6284040481583106,0.628159687395632,-0.486378919744838,3.746534817647452,4.660584225419143,5.985697299362095,7.377398862383934,6.44820416805824,5.98482851679914,5.8238782562955,5.7637967783548145,2.977890534425924,1.0,23.550432016161206,22.85683239699767,22.402936888004675,21.81463932687759,22.293144371446633
26,113.7322914029413,-21.06483324086292,1.3771,40.9788,18480.2149,12.0213,182.4247,-64.4872,-8.8724,-120.4129,2.1696,0.3824,-1.888,1,0.0739,1.96E-4,10.0792,0.6851279085431156,0.6847742542967757,-0.22179450559662603,3.777421350067883,4.556872370533517,5.3248218212903025,6.496701727158461,5.69409733152312,5.33483516508273,5.2232040818625345,5.198559654849913,3.013994833559394,1.0,22.981093220570088,22.047352791841103,21.717122898837268,21.605075614486495,21.49877351845859
27,113.78689384940463,-21.27343916880875,1.4954,40.7836,18234.1505,11.9748,146.8597,-64.5967,-16.1784,-104.4094,1.8558,0.1777,-2.0069,1,0.0739,1.55E-4,10.0792,0.7784776341277926,0.7773100525176793,0.4568452030331453,3.815491902138536,4.085627711016441,3.6276369924171368,4.698662123711335,3.877650954247247,3.671631407685093,3.6286202382210044,3.6506090687569164,3.062292510864427,1.0,21.021029486451916,20.245710501347407,19.98586550524245,19.855348596467845,19.783119862294207
28,113.83264232082462,-21.184586899067153,1.5287,40.8789,18065.4963,11.9991,132.7191,-80.883,-12.4326,-114.4966,1.8087,0.1193,-1.887,1,0.0739,1.96E-4,10.0792,0.7672540665145002,0.7663206158847252,0.3212283863995289,3.813977772447723,4.209186660604504,3.966936972412705,5.029905218766595,4.22551635652798,4.010936972412705,3.9643893419435408,3.9838734651204857,3.0570865899075796,1.0,21.40343588218082,20.450852149841626,20.27361617560815,20.185254634800792,20.15338413953416
29,113.91018623634649,-21.295430090414246,1.6499,40.7835,18410.4683,11.9807,137.3057,-55.9828,9.0659,-102.8273,1.6475,0.428,-1.935,1,0.0739,1.96E-4,10.0792,0.6725868366472127,0.672270180329248,-0.2834702602603449,3.770871950482388,4.5844121980704475,5.479001930015333,6.687926133154695,5.865485193491599,5.48439169509956,5.362171225268012,5.330255872894351,3.0065171903462953,1.0,23.82151715525277,22.07346019625768,21.709867611446565,21.839866413437093,21.218331539801717
